Refseq_ID,Exosome,Nucleus,Nucleoplasm,Chromatin,Cytoplasm,Nucleolus,Cytosol,Membrane,Ribosome
XM_017008689.1,1,1,1,1,0,1,1,0,0
NM_001245.7,1,0,0,0,0,0,0,0,0
XM_011543359.1,1,1,1,1,0,1,1,1,1
XM_011513659.2,1,1,1,0,0,0,1,1,0
XM_017027034.2,1,1,1,1,0,1,1,0,0
NM_014760.4,1,1,1,1,0,1,1,0,0
XM_006715785.4,1,0,1,1,0,1,0,0,1
XM_030247725.2,1,0,0,0,0,0,0,0,0
NR_137630.2,1,0,0,0,0,0,0,0,0
NM_001251877.2,1,1,1,1,0,1,1,0,1
NM_031863.4,0,1,0,0,0,0,0,0,0
NM_001307986.2,1,0,0,0,0,0,1,0,0
XM_024447144.1,1,1,1,1,0,1,0,0,0
NM_001202521.1,1,1,1,1,0,1,0,0,1
XR_001748773.1,1,1,1,1,0,1,1,0,0
XM_017029745.1,1,1,0,0,1,0,1,1,0
XM_017004524.1,1,1,1,1,0,1,1,0,0
XM_017008809.1,1,0,0,0,0,0,0,0,0
NM_001198962.1,1,0,0,0,0,0,1,0,0
XM_011539119.1,1,1,1,1,0,1,1,1,1
XM_006520117.3,0,1,0,0,0,0,0,0,0
NM_001303100.2,1,1,1,1,0,1,1,0,1
XM_030255349.2,0,1,0,0,0,0,0,0,0
XR_001753566.2,1,0,1,1,0,1,0,0,0
NM_001452.2,1,0,0,0,0,0,0,0,0
XM_036157704.1,0,1,0,0,0,0,0,0,0
NM_003240.5,1,0,0,0,0,0,0,0,0
XR_945823.1,1,1,1,1,0,1,1,0,1
XM_017028076.1,1,1,0,0,0,1,1,0,0
NR_136720.2,1,1,0,0,1,0,1,0,0
NM_001376889.1,1,0,0,1,0,1,1,0,0
XM_011534215.3,1,1,1,0,0,1,0,0,0
NM_023067.4,1,1,0,0,0,0,0,0,0
XR_244084.4,1,1,1,1,0,1,0,0,1
XM_011245810.4,0,0,0,0,1,0,0,0,0
XR_001751865.1,1,1,1,1,0,1,1,1,0
NR_148957.2,1,1,1,1,0,0,1,0,1
NM_014520.4,1,1,1,1,0,1,1,0,0
XM_036164296.1,0,1,0,0,0,0,0,0,0
NM_007350.3,1,1,0,0,1,0,0,0,1
XM_006535400.2,0,1,0,0,0,0,0,0,0
XM_006717236.4,1,1,1,1,0,0,1,0,0
XM_011518798.2,1,1,1,1,0,1,0,0,0
NM_018073.8,1,1,0,1,1,0,0,0,0
XM_006713494.2,1,0,0,0,0,0,1,0,0
NM_009084.4,1,0,0,0,0,0,0,0,0
XM_011529402.2,1,1,1,1,0,1,0,0,0
XM_011543588.2,1,1,1,1,0,0,1,1,1
XM_011514596.2,1,0,0,0,0,0,0,0,0
NR_037575.2,1,1,1,1,0,0,0,0,1
NM_001389668.1,1,0,0,0,0,0,0,0,0
NM_001160370.2,0,0,0,0,1,0,0,0,0
NM_053284.3,1,0,0,0,0,0,0,0,0
XM_011544884.2,1,0,0,0,0,0,0,0,1
NM_021619.3,1,0,0,0,0,0,0,0,0
XM_011522463.2,1,1,1,1,0,0,1,1,0
NM_001319996.2,1,1,1,1,0,1,1,1,0
NM_006166.4,1,0,0,0,0,0,1,0,0
XM_005264937.2,1,0,0,0,0,0,0,0,0
NM_024562.2,1,1,1,1,0,1,1,0,0
XM_011529387.2,1,1,1,0,0,1,1,1,1
NM_033512.3,1,0,0,0,0,0,0,0,0
NM_014393.3,1,1,1,1,0,1,1,1,1
XM_036164415.1,0,0,0,0,1,0,0,0,0
NM_001321018.2,1,1,1,1,1,1,1,0,1
XM_024451299.1,1,0,1,1,0,1,1,1,1
XR_002956988.1,1,1,0,0,0,0,1,1,0
XR_003952200.1,0,1,0,0,0,0,0,0,0
NM_004053.4,1,0,1,1,0,1,1,1,1
XM_011511398.3,1,1,1,1,0,0,1,1,1
XM_011510489.2,1,0,0,0,0,0,0,0,0
NM_023917.2,1,0,0,0,0,0,0,0,0
XM_005254549.3,1,1,0,1,0,0,1,0,1
XR_002956473.1,1,1,0,1,0,1,0,0,1
XM_030243669.1,0,1,0,0,0,0,0,0,0
NM_001370403.1,0,0,0,0,0,1,0,0,0
NM_001283056.2,1,1,0,0,0,0,0,0,0
NM_001164387.2,1,1,1,1,0,1,1,1,0
NM_001331022.1,1,1,1,1,1,1,1,0,0
NR_135617.2,1,0,0,0,0,0,1,0,0
XM_017025480.2,1,1,1,1,0,1,0,0,0
NM_001114598.2,1,0,0,0,0,0,0,0,0
XM_011522951.3,1,0,1,0,0,0,0,0,0
NM_001135240.3,1,1,0,0,0,0,0,0,0
NM_032184.2,1,1,0,1,1,0,0,0,0
NM_005225.3,1,1,1,0,0,1,1,0,1
XM_011517617.2,1,0,0,0,0,0,0,0,0
NR_103488.3,1,1,1,1,1,1,1,0,0
NM_019733.3,0,1,0,0,1,0,0,0,0
XM_005266946.4,1,0,0,0,0,0,0,0,0
NM_001145635.2,1,1,1,1,1,0,0,0,0
NM_001277092.2,1,0,0,0,0,0,0,0,0
XM_006721566.3,1,1,1,0,0,0,1,0,0
XM_024450292.1,1,1,1,1,0,1,1,1,1
NM_002242.4,1,0,1,0,0,0,0,0,0
XM_017013125.2,1,1,1,1,0,1,1,0,1
XM_024449415.1,1,1,0,0,0,1,1,1,0
XM_011527550.2,1,1,1,1,0,1,1,1,1
NM_001178000.2,1,1,1,1,0,1,1,1,0
NM_000762.6,1,0,0,0,0,0,1,0,0
XM_011246441.4,0,1,0,0,0,0,0,0,0
XR_001737030.1,1,0,0,0,0,1,0,0,0
NM_012377.1,1,0,0,0,0,0,0,0,0
XR_430544.2,1,1,1,1,0,0,1,0,0
NM_001384452.1,1,1,1,1,1,1,1,1,0
NM_000709.4,1,0,0,1,0,0,1,0,0
XR_004939519.1,0,1,0,0,0,0,0,0,0
XM_030243303.2,1,1,0,0,0,0,0,0,0
NM_001165941.2,0,1,0,0,0,0,0,0,0
XM_017029454.1,1,0,0,0,0,0,0,0,0
NM_002593.4,1,0,0,0,0,0,0,0,0
XM_005258132.4,1,0,1,0,0,1,1,0,0
NR_144492.2,1,0,1,1,0,1,1,1,0
XM_011509656.2,1,0,0,0,0,0,0,0,0
XM_011527875.3,1,0,0,0,0,0,1,0,1
XM_005271415.4,1,1,1,1,0,0,1,1,0
NM_001012415.3,0,0,0,0,0,0,0,0,1
NM_144775.3,1,0,0,1,0,0,0,0,0
NM_004814.3,1,1,1,1,0,0,1,1,1
NM_001038603.3,1,1,0,0,1,0,1,1,0
NM_001025370.3,1,1,1,1,0,1,0,1,1
XM_024446343.1,1,0,0,0,0,0,0,0,0
NM_022744.4,1,1,1,1,0,1,0,0,1
NM_001199087.2,1,0,0,0,0,0,0,0,0
NM_001242865.3,1,0,1,1,0,1,1,1,1
NM_015656.2,1,1,0,0,0,0,0,0,1
NM_018256.4,1,1,1,1,0,1,1,0,1
NM_007635.4,0,1,0,0,0,0,0,0,0
NR_148962.1,1,0,0,0,0,0,0,0,0
NR_135632.2,1,0,0,0,0,0,1,0,0
NM_001362067.1,0,1,0,0,0,0,0,0,0
NM_003957.4,1,0,0,0,0,0,0,0,0
NM_011112.4,0,1,0,0,0,0,0,0,0
XM_024450364.1,1,0,0,0,0,0,0,0,0
NM_153000.5,1,0,0,0,0,0,1,0,0
XM_017003203.1,1,1,1,1,1,0,0,1,0
NM_007447.3,0,0,0,0,1,0,0,0,0
XM_011536194.3,1,1,0,0,0,1,0,0,1
NM_001243283.2,1,1,0,0,0,0,1,0,0
NM_018646.6,1,1,0,1,0,0,0,0,0
NM_033546.4,1,0,1,0,0,0,1,0,1
XM_024453951.1,1,1,1,1,0,1,1,0,1
XM_017004397.2,1,1,1,1,0,1,1,0,1
NM_001371163.1,1,1,0,0,0,1,1,0,0
XM_011533073.2,1,1,1,1,0,0,0,0,0
NR_155742.2,1,0,0,1,0,1,1,1,0
NM_024459.2,0,1,0,0,0,0,0,0,0
NM_001363546.1,1,0,0,0,0,0,0,0,0
NM_001322130.2,1,1,0,1,0,1,0,0,0
XM_005262744.3,1,0,0,0,0,0,0,0,0
NM_001367862.1,1,1,1,1,0,1,1,0,0
NM_001348187.2,1,1,1,1,0,0,1,1,0
NM_005872.3,1,0,0,1,0,0,0,0,1
NM_207491.2,1,1,0,0,0,0,0,0,0
NM_001363426.1,1,1,1,1,0,0,1,0,0
XM_017008541.1,1,1,1,1,0,0,0,0,1
XR_869733.4,0,1,0,0,0,0,0,0,0
NM_002034.2,1,0,0,0,0,0,0,0,0
NM_001367986.1,1,1,1,1,0,1,1,1,1
NM_001300829.2,1,1,1,1,0,0,1,0,1
NM_146604.2,0,0,0,0,1,0,0,0,0
NM_001013703.4,1,1,1,1,0,1,1,0,1
NR_073484.2,1,0,0,0,0,1,1,0,1
NM_007214.5,1,1,1,1,0,1,1,1,1
NM_005875.3,1,0,0,0,0,0,1,0,1
NM_001304513.2,1,1,0,1,0,0,0,0,0
XM_011520963.2,1,0,0,0,0,0,0,0,0
XM_011544790.1,1,1,1,1,0,1,1,1,0
NM_001257134.2,1,1,1,0,0,0,0,0,1
NM_178085.3,0,1,0,0,0,0,0,0,0
XM_017319693.3,0,1,0,0,0,0,0,0,0
XM_017015479.2,1,0,0,0,0,0,0,0,0
XR_004934036.1,0,1,0,0,0,0,0,0,0
NM_001265587.2,1,1,0,0,0,0,0,0,0
NM_001185156.1,1,0,0,0,0,0,1,0,0
NM_003974.4,1,0,0,0,0,0,0,0,0
XR_002956742.1,1,1,1,1,0,0,1,0,1
XM_017010918.1,1,1,1,0,0,1,1,0,0
NM_194334.2,0,0,0,0,1,0,0,0,0
XM_006497736.4,1,0,0,0,0,0,0,0,0
XM_024448569.1,1,0,0,0,0,0,1,0,0
XM_011519442.2,1,1,0,0,1,0,0,0,0
XR_001740014.2,1,1,0,0,0,0,1,0,0
XM_011542167.3,1,1,1,0,0,1,1,0,0
NM_001359629.1,0,0,0,0,1,0,0,0,0
XM_017011996.2,1,0,0,0,0,0,1,0,0
NM_172249.4,1,0,0,0,0,0,0,0,0
XM_005269647.3,1,1,1,1,0,1,1,1,0
XM_005257666.4,1,0,0,0,0,0,0,0,1
XR_001753791.1,1,1,1,1,1,0,1,1,1
NM_001323576.2,1,1,0,1,0,0,1,0,0
NM_173485.6,1,1,0,0,0,0,1,1,0
NM_001301109.2,1,1,1,1,0,1,1,1,1
XM_017014319.2,1,1,0,0,0,0,1,1,0
XM_024447219.1,1,1,0,0,1,0,0,0,0
XR_001748894.2,1,1,0,0,0,0,1,0,0
NM_021044.4,1,0,0,0,0,0,0,0,0
NM_001314077.2,1,1,1,1,0,1,1,0,1
NM_001098227.1,0,1,0,0,0,0,0,0,0
XM_017316548.3,0,1,0,0,0,0,0,0,0
XM_011531281.2,1,0,0,0,0,0,0,0,0
NM_001378365.1,1,1,1,1,0,1,1,0,0
NR_169879.1,1,1,1,1,0,1,1,0,0
XM_011513679.2,1,0,0,0,0,0,0,0,0
NM_206914.2,1,1,0,1,1,0,0,0,0
NM_001289908.1,1,1,0,0,1,0,0,0,0
NM_018996.3,1,0,1,1,0,1,1,1,0
XM_024447322.1,1,1,0,0,0,0,1,0,0
XM_017007662.1,1,0,0,1,0,1,1,1,0
XM_011545023.2,1,1,1,1,0,1,1,1,1
NM_018938.4,1,0,0,0,0,0,0,0,0
NM_001173989.4,1,1,1,1,0,1,1,0,0
XR_935264.2,1,1,1,1,1,1,0,0,0
NR_136606.2,1,1,1,1,0,1,1,0,0
XM_017023793.1,1,1,1,1,0,1,1,1,1
XM_017017646.1,1,1,0,1,0,1,0,0,0
NM_002421.4,1,0,0,0,0,0,0,0,0
NM_001286677.2,1,0,1,1,0,1,1,1,1
NM_017617.5,1,1,0,1,0,1,1,0,0
XM_024446961.1,1,1,1,1,0,1,1,1,0
XM_006514781.4,0,1,0,0,0,0,0,0,0
NM_001320252.2,1,1,1,1,0,0,1,0,0
NM_001352684.2,1,1,1,1,0,0,0,0,0
NM_201589.4,1,0,0,0,0,0,0,0,0
NM_005299.3,1,0,0,0,0,0,0,0,0
XM_011543096.2,1,1,1,1,0,1,1,0,0
NM_001282144.2,1,0,0,0,0,0,0,0,0
NM_001307.6,1,0,0,0,0,0,0,0,1
XM_017028395.2,1,0,0,1,0,0,0,0,0
XM_011511803.2,1,0,0,0,0,0,0,0,0
NM_003734.4,1,0,0,0,0,0,1,0,0
XM_036164952.1,0,0,0,0,1,0,0,0,0
XR_925302.2,1,1,1,1,1,1,1,1,1
NR_135270.2,1,1,0,1,0,0,1,0,0
NM_139135.4,1,1,1,1,0,1,1,0,0
NM_001198846.2,1,0,0,0,0,0,0,0,0
XR_002956997.1,1,1,0,1,0,1,1,0,1
XM_017028014.2,1,1,1,1,0,1,1,0,0
NM_001204051.2,1,0,0,0,0,0,0,0,0
NM_001289004.2,1,1,0,0,0,0,1,1,0
XM_017022879.1,1,1,1,1,0,1,1,1,1
NM_001329746.2,1,0,0,0,0,0,0,0,1
NM_001142386.3,1,0,0,0,0,0,0,0,0
NM_030737.3,0,0,0,0,1,0,0,0,0
XM_017000539.1,1,0,0,0,0,0,0,0,0
NM_001282464.2,1,0,0,0,0,0,0,0,0
XM_006507482.3,0,0,0,0,1,0,0,0,0
NR_147915.2,1,1,1,1,0,1,1,1,0
NM_001368886.1,1,0,0,0,0,0,0,0,0
NM_018655.3,1,0,0,0,0,0,0,0,0
NM_001199011.2,1,1,1,1,0,1,1,0,1
NM_001386970.1,1,0,0,0,0,0,0,0,0
XM_005270462.2,1,0,1,1,0,0,1,0,0
XM_017320981.3,0,1,0,0,0,0,0,0,0
XM_017023321.2,1,0,0,0,1,0,0,0,0
NM_001286559.2,0,0,0,1,0,0,0,0,0
NM_001165978.3,1,1,0,0,1,0,0,0,1
XM_011519955.2,1,1,1,1,0,0,1,0,1
XM_011521056.3,1,1,1,1,0,1,1,1,0
NM_001290448.1,0,1,0,0,0,0,0,0,0
NM_001282446.2,1,0,1,0,0,0,0,0,1
XM_017012872.2,1,1,1,1,0,1,0,1,0
NM_009665.5,1,0,0,0,0,0,0,0,0
XM_011528317.3,1,1,0,0,0,1,0,0,0
NM_001033241.3,0,0,0,0,1,0,0,0,0
NM_001393563.1,1,0,0,0,0,0,0,0,1
XM_011535173.3,1,1,1,1,0,1,1,0,1
NM_001319681.2,1,1,1,1,0,0,1,0,0
NM_001184856.2,1,1,1,1,0,1,1,0,1
NM_026232.3,0,1,0,0,0,0,0,0,0
NM_001005224.2,1,0,0,0,0,0,0,0,0
XM_006720236.3,1,1,1,1,0,1,0,0,1
XM_024449559.1,1,1,1,1,0,1,1,1,1
NM_011591.5,0,0,0,0,1,0,0,0,0
NM_004107.5,1,1,0,0,0,0,0,0,1
NM_018878.3,0,1,0,0,0,0,0,0,0
XM_024446153.1,1,1,1,1,0,1,1,0,0
XM_011510577.2,1,1,1,1,0,1,1,0,0
XM_017021209.1,1,0,1,1,0,1,0,0,0
XR_001752677.2,1,1,1,1,0,1,1,1,1
XM_024446307.1,1,0,1,0,0,0,0,0,0
NM_003329.4,1,1,1,1,0,1,0,0,1
NM_001013632.4,1,0,0,0,0,0,0,0,0
NM_177242.4,0,1,0,0,0,0,0,0,0
NM_133247.3,0,1,0,0,0,0,0,0,0
XM_017026971.1,1,0,0,0,0,0,0,0,0
NM_001367873.1,1,1,1,1,0,1,1,1,0
XM_024454151.1,1,1,0,0,0,0,1,1,0
XM_017016549.1,1,0,0,0,0,0,0,0,0
XM_017002600.1,1,0,1,1,0,0,0,0,1
NM_004332.4,1,0,1,0,0,0,1,0,1
XM_006716440.3,1,0,0,0,0,0,1,0,0
XR_002959841.1,1,1,1,1,0,1,1,1,0
XM_011521501.2,1,1,0,0,0,0,0,0,0
XR_003955700.2,0,1,0,0,0,0,0,0,0
XM_011539239.2,1,1,0,0,0,0,1,0,0
NM_001114636.1,1,1,1,1,0,1,1,1,0
NM_014744.2,1,1,1,1,1,1,1,1,0
XR_004942454.1,0,1,0,0,0,0,0,0,0
XM_017025530.1,1,0,0,0,0,0,0,0,0
NM_001159887.1,0,1,0,0,0,0,0,0,0
XM_036165855.1,0,0,0,0,1,0,0,0,0
XR_001755724.2,1,1,1,1,0,1,1,0,0
NM_022783.4,1,0,0,0,0,0,0,0,0
NM_001347089.2,0,1,0,0,0,0,0,0,0
XM_017026928.1,1,1,0,0,0,1,1,0,1
NM_001389.5,1,0,0,0,0,0,1,0,0
XM_006716668.3,1,1,1,1,0,1,0,1,0
NM_019102.4,1,0,0,0,0,0,0,0,0
XM_017029378.2,1,0,0,0,0,0,1,0,0
XM_017005057.1,1,0,0,1,0,1,0,1,1
NM_001316965.2,1,1,0,0,0,1,0,0,1
NM_001371169.1,1,1,0,0,0,1,1,0,0
XM_036160182.1,0,1,0,0,0,0,0,0,0
XR_004942899.1,0,1,0,0,0,0,0,0,0
NM_004663.5,1,0,1,1,0,1,1,0,1
NM_001350912.2,1,1,0,0,0,0,1,0,0
NM_001256385.2,1,0,0,0,0,0,1,0,0
XM_024446047.1,1,1,1,0,0,1,1,1,1
NM_178127.5,1,0,0,0,0,0,0,0,0
XM_011525847.3,1,1,0,1,0,0,0,0,1
NM_004124.3,1,0,0,0,0,0,0,0,1
NM_015341.5,1,1,1,1,0,1,1,0,1
NM_003849.4,1,0,1,1,0,0,1,1,1
NM_138569.3,1,0,0,0,0,0,1,0,0
NM_001145642.5,1,1,1,1,0,1,1,1,0
NM_001286401.2,1,0,1,0,0,1,0,0,0
NM_001052.4,1,0,0,0,0,0,0,0,0
NM_003108.4,1,0,0,0,0,0,0,0,0
XM_011527148.1,1,0,0,0,0,0,0,0,0
NM_001297707.3,1,1,1,1,0,0,0,0,0
NM_001331.3,1,1,1,1,0,1,1,0,0
XR_004939550.1,0,0,0,0,1,0,0,0,0
NM_001198760.1,1,0,0,0,0,0,0,0,0
NM_001017390.3,1,0,1,1,0,1,1,0,0
XM_036163277.1,0,1,0,0,0,0,0,0,0
NM_001201407.2,1,0,1,1,0,1,1,0,0
XR_003950891.2,0,1,0,0,0,0,0,0,0
XM_011519263.2,1,1,1,1,0,1,1,1,0
XM_036154263.1,0,1,0,0,0,0,0,0,0
XM_011532816.2,1,0,0,0,0,1,0,0,0
XM_011524843.3,1,0,1,0,0,0,0,0,0
NM_001357748.1,0,0,0,0,1,0,0,0,0
NR_027415.2,1,1,0,0,0,0,1,0,0
XR_004937452.1,0,1,0,0,0,0,0,0,0
NM_016323.4,1,0,0,0,0,0,0,0,0
NM_001316968.2,1,1,0,1,0,0,0,0,0
NM_031966.4,1,1,1,1,0,1,1,0,1
NM_002630.4,1,1,0,0,0,0,0,0,0
XM_005261801.4,1,1,0,1,0,1,1,0,1
NM_001319210.2,1,1,1,1,0,1,1,0,0
NM_001351032.2,1,1,0,1,0,0,0,0,1
NM_006101.3,1,1,1,1,0,1,1,0,0
NM_001379065.1,0,1,0,0,0,0,0,0,0
NR_028420.1,0,1,0,0,0,0,0,0,0
NM_025054.5,1,1,1,0,0,1,1,0,1
NM_134141.4,0,0,0,0,1,0,0,0,0
NM_016429.4,1,0,0,0,0,0,0,0,0
XM_017024121.1,1,1,1,0,0,1,1,1,0
NM_001293772.2,0,0,0,0,1,0,0,0,0
NM_007252.4,1,0,1,1,0,1,1,0,0
XM_006515340.5,0,1,0,0,0,0,0,0,0
XM_011519215.2,1,1,1,1,0,1,1,1,0
NM_014650.4,1,1,0,0,0,0,0,0,0
XR_002956783.1,1,1,1,1,0,1,1,0,1
XR_001750611.2,1,1,1,1,0,1,1,1,0
NM_007080.3,1,0,0,0,0,0,0,0,1
NR_136411.2,1,0,0,0,0,0,0,0,0
XM_017009910.2,1,1,1,1,0,0,1,0,0
NM_001312920.2,1,1,1,0,0,0,0,1,0
XM_011531019.1,1,1,0,0,0,0,1,0,0
XM_017028118.1,1,1,1,1,0,1,1,0,1
XM_017010810.1,1,0,0,0,0,0,0,0,0
NM_005445.4,1,1,0,1,0,1,1,0,1
XM_011544842.1,1,0,0,0,0,0,0,0,0
NR_135580.2,1,1,1,1,0,1,1,0,1
NR_047629.1,1,1,0,0,1,0,1,0,0
XM_006720094.4,1,1,1,0,0,0,1,0,1
XM_024450224.1,1,1,1,1,0,1,1,1,0
XM_006513654.3,0,0,0,0,1,0,0,0,0
NM_001393532.1,0,1,0,0,0,0,0,0,0
NR_110986.1,1,0,0,0,0,0,0,0,0
NM_152284.4,1,1,1,0,0,0,1,0,1
NM_010880.3,0,1,0,0,0,0,0,0,0
NM_018431.5,1,0,0,0,0,0,0,0,0
XM_017020143.2,1,1,1,1,0,1,1,0,1
NR_003104.2,1,1,1,1,0,0,1,1,0
NM_001382574.1,1,1,1,1,0,1,1,0,0
NM_001379043.1,1,1,1,0,0,1,1,0,1
XM_011542836.2,1,0,0,0,0,0,0,0,0
XM_011530994.1,1,1,0,0,1,0,0,0,0
XM_011542957.3,1,0,0,0,0,0,0,0,0
XM_030244248.2,0,0,0,0,1,0,0,0,0
XM_011541802.2,1,0,1,1,0,1,0,0,1
XR_001754831.2,1,0,1,0,0,0,1,0,0
NM_029635.3,0,0,0,0,1,0,0,0,0
XM_011539132.2,1,1,0,0,0,0,1,0,0
XR_376302.4,0,0,0,0,1,0,0,0,0
XM_005272589.3,1,1,0,0,0,0,0,0,0
NM_001199938.1,1,0,0,0,0,0,0,0,0
XM_017014958.2,1,0,0,0,0,0,1,0,0
NM_001277058.2,1,1,1,1,0,1,0,0,0
